"Brain Research Institute (BRI)","670 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0673111,-118.4448319
"Broad Art Center","240 Charles E. Young Dr. North, Los Angeles, CA 90024",34.075885,-118.4409969
"Broxton Plaza","911 S. Broxton, Los Angeles, CA 90024",34.0634121,-118.4473088
"Bunche Hall","315 Portola Plaza, Los Angeles, CA 90024",34.0742532,-118.4401193
"Campbell Hall","335 Portola Plaza, Los Angeles, CA 90024",34.0736573,-118.441329
"Capital Programs Building","1060 Veteran Ave., Los Angeles, CA 90024",34.0602193,-118.4484851
"Center for Health Sciences & World Health","10833 Le Conte Ave., Los Angeles, CA 90024",34.066747,-118.44224
"Community Health Sciences (CHS) Building","630 Charles E Young Dr S, Los Angeles, CA 90095",34.0667358,-118.4437698
"School of Nursing","700 Tiverton Ave., Los Angeles, CA 90024",34.066771,-118.441982
"California NanoSystems Institute (CNSI) Building","570 Westwood Plaza, Los Angeles, CA 90024",34.0680384,-118.4429551
"Court of Sciences Student Center","617 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0683494,-118.4422517
"David Geuen School of Medicine","10833 Le Conte Ave., Los Angeles, CA 90024",34.065894,-118.443361
"School of Dentistry","714 Tiverton Ave., Los Angeles, CA 90024",34.066336,-118.4419807
"Dodd Hall","390 Portola Plaza, Los Angeles, CA 90024",34.0726629,-118.4392759
"Doris Stein Eye Research Center","200 Stein Plaza, Los Angeles, CA 90024",34.0645979,-118.4445952
"Drake Track & Field Stadium","340 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0716229,-118.4482597
"EH&S Services Building","550 Charles E. Young Dr. West, Los Angeles, CA 90024",34.0684202,-118.447633
"Emergency Department","757 Westwood Plaza, Los Angeles, CA 90024",34.0666437,-118.4467989
"Engineering IV","420 Westwood Plaza, Los Angeles, CA 90024",34.0687994,-118.4440275
"Engineering V","410 Westwood Plaza, Los Angeles, CA 90024",34.0694535,-118.4437824
"Engineering VI","404 Westwood Plaza, Los Angeles, CA 90024",34.0694996,-118.4445256
"Facilities Management Building","731 Charles E. Young Dr. South, Los Angeles, CA 90024",34.067192,-118.4469286
"Factor Health Sciences Building","700 Tiverton Ave., Los Angeles, CA 90024",34.066771,-118.441982
"Faculty Center","480 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0703209,-118.4392384
"Gayley Faculty Apartments","715 Gayley Ave., Los Angeles, CA 90024",34.0650377,-118.4482221
"Levering Faculty Apartments","827 Levering Ave., Los Angeles, CA 90024",34.0635935,-118.4496926
"Fernald Center","320 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0764386,-118.4433706
"Fielding School of Public Health","640 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0667358,-118.4437698
"Fire Station","1090 Veteran Ave., Los Angeles, CA 90024",34.0597907,-118.4489467
"Fleet Services/Garage","751 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0677623,-118.4476958
"Fowler Museum (Cultural History)","308 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0729241,-118.4430192
"Franz Hall","502 Portola Plaza, Los Angeles, CA 90024",34.0696422,-118.4412792
"Geuen Academy","11000 Kinross Ave., Los Angeles, CA 90024",34.0593345,-118.44679
"Geuen Hall","885 Tiverton Dr., Los Angeles, CA 90024",34.0642451,-118.442334
"Geffen Playhouse","10886 Le Conte Ave., Los Angeles, CA 90024",34.0635118,-118.4443932
"Geology Building","595 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0692135,-118.44059
"Goldberg Medical Building","300 Medical Plaza, Los Angeles, CA 90024",34.0645258,-118.4460644
"Gonda (Goldschmeid) Center","695 Charles E. Young Dr. South, Los Angeles, CA 90024",34.0673704,-118.4446824
"Graduate School of Education & Information Studies (GSE&IS)","290 Charles E. Young Dr. North, Los Angeles, CA 90024",34.0750904,-118.4421242
"Haines Hall","375 Portola Plaza, Los Angeles, CA 90024",34.0728785,-118.4411359
"Hammer Museum","10889 Wilshire Blvd., Los Angeles, CA 90024",34.0594678,-118.4436623
"Hershey Hall","612 Charles E. Young Dr. East, Los Angeles, CA 90024",34.0669353,-118.4400312
"Hillblom Islet Research Center","900 Weyburn Place North, Los Angeles, CA 90024",34.062928,-118.4496577
"Hilgard Bus Terminal","403 Hilgard Ave., Los Angeles, CA 90024",34.071141,-118.43842
"Holmby Park",,34.0724488,-118.4296362
"Intramural Field (IM)",,34.0721882,-118.4468518
